non_inclusive_term,inclusive_alternatives,note
insane,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
insanity,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
loony,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
lunacy,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
lunatic,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
mentally ill,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
psychopathology,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
mental defective,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
moron,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
moronic,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
nuts,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
mental case,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
mental,"rude, malicious, mean, disgusting, incredible, vile, person with symptoms of mental illness, person with mental illness, person with symptoms of a mental disorder, person with a mental disorder",Describe the behavior or illness without derogatory words.
insanely,incredibly,Describe the behavior or illness without derogatory words.
sane,"correct, adequate, sufficient, consistent, valid, coherent, sensible, reasonable","When describing a mathematical or programmatic value, using the word “sane” needlessly invokes the topic of mental health.  Consider using a domain-specific or neutral term instead."
sanity check,"check, assertion, validation, smoke test","When describing a mathematical or programmatic value, using the phrase “sanity check” needlessly invokes the topic of mental health.  Consider using simply “check”, or a domain-specific or neutral term, instead."
bipolar,"fluctuating, person with bipolar disorder",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
schizophrenic,person with schizophrenia,Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
schizo,person with schizophrenia,Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
suffers from schizophrenia,person with schizophrenia,Assumes a person with schizophrenia experiences a reduced quality of life.
suffering from schizophrenia,person with schizophrenia,Assumes a person with schizophrenia experiences a reduced quality of life.
afflicted with schizophrenia,person with schizophrenia,Assumes a person with schizophrenia experiences a reduced quality of life.
manic,person with schizophrenia,Assumes a person with schizophrenia experiences a reduced quality of life.
handicapped parking,accessible parking,
handicapped,"person with a handicap, accessible","Refer to the person, rather than the disability, first."
amputee,person with an amputation,"Refer to the person, rather than the condition, first."
cripple,person with a limp,Refer to the specific disability.
crippled,person with a limp,Refer to the specific disability.
gimp,person with a limp,Refer to the specific disability.
mongoloid,person with Down Syndrome,
stroke victim,individual who has had a stroke,"Refer to the person, rather than the condition, first."
suffering from a stroke,individual who has had a stroke,"Refer to the person, rather than the condition, first."
victim of a stroke,individual who has had a stroke,"Refer to the person, rather than the condition, first."
suffers from multiple sclerosis,person who has multiple sclerosis,
suffering from multiple sclerosis,person who has multiple sclerosis,
victim of multiple sclerosis,person who has multiple sclerosis,
multiple sclerosis victim,person who has multiple sclerosis,
afflicted with multiple sclerosis,person who has multiple sclerosis,
suffers from muscular dystrophy,person who has muscular dystrophy,"Refer to a person's condition as a state, not as an affliction."
afflicted with muscular dystrophy,person who has muscular dystrophy,"Refer to a person's condition as a state, not as an affliction."
suffers from MD,person who has muscular dystrophy,"Refer to a person's condition as a state, not as an affliction."
afflicted with MD,person who has muscular dystrophy,"Refer to a person's condition as a state, not as an affliction."
family burden,with family support needs,
asylum,"psychiatric hospital, mental health hospital",
bedlam,"chaos, hectic, pandemonium",
madhouse,"chaos, hectic, pandemonium",
loony bin,"chaos, hectic, pandemonium",
downs syndrome,Down Syndrome,
retard,"silly, dullard, person with Down Syndrome, person with developmental disabilities, delay, hold back",
retarded,"silly, dullard, person with Down Syndrome, person with developmental disabilities, delay, hold back",
short bus,"silly, dullard, person with Down Syndrome, person with developmental disabilities, delay, hold back",
retards,"sillies, dullards, people with developmental disabilities, people with Down’s Syndrome, delays, holds back",
psychotic,"person with a psychotic condition, person with psychosis",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
suffers from psychosis,"person with a psychotic condition, person with psychosis",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
suffering from psychosis,"person with a psychotic condition, person with psychosis",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
afflicted with psychosis,"person with a psychotic condition, person with psychosis",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
victim of psychosis,"person with a psychotic condition, person with psychosis",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
lame,"boring, dull",
suffering from aids,person with AIDS,
suffer from aids,person with AIDS,
suffers from aids,person with AIDS,
afflicted with aids,person with AIDS,
victim of aids,person with AIDS,
aids victim,person with AIDS,
confined to a wheelchair,uses a wheelchair,
bound to a wheelchair,uses a wheelchair,
restricted to a wheelchair,uses a wheelchair,
wheelchair bound,uses a wheelchair,
special olympians,"athletes, Special Olympics athletes","When possible, use the exact discipline of sport."
special olympic athletes,"athletes, Special Olympics athletes","When possible, use the exact discipline of sport."
ablebodied,non-disabled,Can imply that people with disabilities lack the ability to use their bodies well. Sometimes `typical` can be used.
addict,"person with a drug addiction, person recovering from a drug addiction",Addiction is a neurobiological disease.
junkie,"person with a drug addiction, person recovering from a drug addiction",Addiction is a neurobiological disease.
addicts,"people with a drug addiction, people recovering from a drug addiction",Addiction is a neurobiological disease.
junkies,"people with a drug addiction, people recovering from a drug addiction",Addiction is a neurobiological disease.
alcoholic,someone with an alcohol problem,Alcoholism is a neurobiological disease.
alcohol abuser,someone with an alcohol problem,Alcoholism is a neurobiological disease.
deaf and dumb,deaf,
deafmute,deaf,
demented,person with dementia,
senile,person with dementia,
depressed,"sad, blue, bummed out, person with seasonal affective disorder, person with psychotic depression, person with postpartum depression",
vertically challenged,"person with dwarfism, little person, little people, LP, person of short stature",
midget,"person with dwarfism, little person, little people, LP, person of short stature",
small person,"person with dwarfism, little person, little people, LP, person of short stature",
dwarf,"person with dwarfism, little person, little people, LP, person of short stature",
dyslexic,person with dyslexia,
epileptic,person with epilepsy,
hearing impaired,"hard of hearing, partially deaf, partial hearing loss, deaf","When possible, ask the person what they prefer."
hearing impairment,"hard of hearing, partially deaf, partial hearing loss, deaf","When possible, ask the person what they prefer."
infantile paralysis,"polio, person who had polio",
suffers from polio,"polio, person who had polio",
suffering from polio,"polio, person who had polio",
suffering from a polio,"polio, person who had polio",
afflicted with polio,"polio, person who had polio",
afflicted with a polio,"polio, person who had polio",
victim of polio,"polio, person who had polio",
suffer from an injury,"sustain an injury, receive an injury",
suffers from an injury,"sustain an injury, receive an injury",
suffering from an injury,"sustain an injury, receive an injury",
afflicted with an injury,"sustain an injury, receive an injury",
victim of an injury,"sustain an injury, receive an injury",
suffer from injuries,"sustain injuries, receive injuries",
suffers from injuries,"sustain injuries, receive injuries",
suffering from injuries,"sustain injuries, receive injuries",
afflicted with injuries,"sustain injuries, receive injuries",
victim of injuries,"sustain injuries, receive injuries",
paraplegic,person with paraplegia,
quadriplegic,person with quadriplegia,
spaz,"person with cerebral palsy, twitch, flinch, hectic",
spastic,"person with cerebral palsy, twitch, flinch",
stammering,"stuttering, disfluency of speech",
stutterer,person who stutters,
tourettes syndrome,Tourette syndrome,
tourettes disorder,Tourette syndrome,
rehab center,treatment center,
detox center,treatment center,
rehab,treatment,
detox,treatment,
sociopath,"person with a personality disorder, person with psychopathic personality",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
sociopaths,"people with psychopathic personalities, people with a personality disorder",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
dumb,"foolish, ludicrous, speechless, silent","Dumb here is used in 2 different contexts , the inability to talk or as a curse word."
simpleton,"foolish, ludicrous, unintelligent",
stupid,"foolish, ludicrous, unintelligent",
wacko,"foolish, ludicrous, unintelligent",
whacko,"foolish, ludicrous, unintelligent",
low iq,"foolish, ludicrous, unintelligent",
panic attack,"fit of terror, scare",
anorexic,"thin, slim",
bony,"thin, slim",
neurotic,"has an anxiety disorder, obsessive, pedantic, niggly, picky",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
ocd,"has an anxiety disorder, obsessive, pedantic, niggly, picky",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
o.c.d,"has an anxiety disorder, obsessive, pedantic, niggly, picky",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
o.c.d.,"has an anxiety disorder, obsessive, pedantic, niggly, picky",Only use terms describing mental illness when referring to a professionally diagnosed medical condition.
insomnia,"restlessness, sleeplessness",
insomniac,person who has insomnia,
insomniacs,people who have insomnia,
barren,"empty, sterile, infertile",
blind to,"careless, heartless, indifferent, insensitive",
blind eye to,"careless, heartless, indifferent, insensitive",
blinded by,"careless, heartless, indifferent, insensitive",
deaf to,"careless, heartless, indifferent, insensitive",
deaf ear to,"careless, heartless, indifferent, insensitive",
deafened by,"careless, heartless, indifferent, insensitive",
cretin,"creep, fool",
daft,"absurd, foolish",
feebleminded,"foolish, ludicrous, silly",
feeble minded,"foolish, ludicrous, silly",
idiot,"foolish, ludicrous, silly",
imbecile,"foolish, ludicrous, silly",
harelipped,person with a cleft-lip and palate,"Sometimes it's cleft lip or palate, not both. Specify when possible."
cleftlipped,person with a cleft-lip and palate,"Sometimes it's cleft lip or palate, not both. Specify when possible."
harelip,cleft-lip and palate,
hare lip,cleft-lip and palate,
maniac,"fanatic, zealot, enthusiast",
bucktoothed,"person with prominent teeth, prominent teeth",
buckteeth,"person with prominent teeth, prominent teeth",
challenged,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
diffability,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
differently abled,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
handicapable,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
special,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
special needs,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
specially abled,"has a disability, person with a disability, people with disabilities",Euphemisms for disabilities can be infantilizing.
fucktard,"disagreeable, uneducated, ignorant, naive, inconsiderate",
libtard,"disagreeable, uneducated, ignorant, naive, inconsiderate",
contard,"disagreeable, uneducated, ignorant, naive, inconsiderate",
ADD,"disorganized, distracted, energetic, hyperactive, impetuous, impulsive, inattentive, restless, unfocused",
adhd,"disorganized, distracted, energetic, hyperactive, impetuous, impulsive, inattentive, restless, unfocused",
a.d.d.,"disorganized, distracted, energetic, hyperactive, impetuous, impulsive, inattentive, restless, unfocused",
a.d.h.d.,"disorganized, distracted, energetic, hyperactive, impetuous, impulsive, inattentive, restless, unfocused",
dummyvariable,"test double, placeholder, fake, stub",Dummy can refer to the inability to talk or be used as a derogatory word meaning stupid. In computer programming it is used where a value or behavior is unimportant. There are better alternatives for other use cases also.
dummyvalue,"test double, placeholder, fake, stub",Dummy can refer to the inability to talk or be used as a derogatory word meaning stupid. In computer programming it is used where a value or behavior is unimportant. There are better alternatives for other use cases also.
dummyobject,"test double, placeholder, fake, stub",Dummy can refer to the inability to talk or be used as a derogatory word meaning stupid. In computer programming it is used where a value or behavior is unimportant. There are better alternatives for other use cases also.
dummy,"test double, placeholder, fake, stub",Dummy can refer to the inability to talk or be used as a derogatory word meaning stupid. In computer programming it is used where a value or behavior is unimportant. There are better alternatives for other use cases also.
binge,"enthusiastic, spree",Binge might be insensitive towards folks with eating or drinking disorders
obvious,,"Not everything is as obvious as you might think. And if it isn ist obvious to the reader, it can hurt."
obviously,,"Not everything is as obvious as you might think. And if it isn ist obvious to the reader, it can hurt."
just,,"Not everything is as easy as you might think. And if it isn ist easy for the reader, it can hurt."
basically,,"It is probably not that basic. If you isre going to explain a confusing previous sentence with a clearer next sentence, why not drop the former and only use the latter?"
simple,,"It is probably not that simple. Even if it is, you probably don ist need to specifically say it."
simply,,"It is probably not that simple. Even if it is, you probably don ist need to specifically say it."
easy,,"It is probably not that easy. Even if it is, you probably don ist need to specifically say it."
easily,,"It is probably not that easy. Even if it is, you probably don ist need to specifically say it."
of course,,"If it is self-evident then maybe you don ist need to describe it. If it isn ist, don ist say it."
clearly,,"If it is self-evident then maybe you don ist need to describe it. If it isn ist, don ist say it."
everyone knows,,"If it is self-evident then maybe you don ist need to describe it. If it isn ist, don ist say it."
straight forward,,"It is probably not that straight forward. Even if it is, you probably don ist need to specifically say it."
straightforward,,"It is probably not that straight forward. Even if it is, you probably don ist need to specifically say it."
straight forwardly,,"It is probably not that straight forward. Even if it is, you probably don ist need to specifically say it."
straightforwardly,,"It is probably not that straight forward. Even if it is, you probably don ist need to specifically say it."
her,"their, theirs, them",
hers,"their, theirs, them",
him,"their, theirs, them",
his,"their, theirs, them",
she,"they, it",
he,"they, it",
she'd,"they, it",
he'd,"they, it",
she'll,"they, it",
he'll,"they, it",
she's,"they, it",
he's,"they, it",
herself,"themselves, theirself, self",
himself,"themselves, theirself, self",
girl,"kid, child, youth",
boy,"kid, child, youth",
women,"people, persons, folks",
girls,"people, persons, folks",
gals,"people, persons, folks",
ladies,"people, persons, folks",
man,"people, persons, folks",
boys,"people, persons, folks",
men,"people, persons, folks",
guys,"people, persons, folks",
dudes,"people, persons, folks",
gents,"people, persons, folks",
gentlemen,"people, persons, folks",
woman,"person, friend, pal, folk, individual",
gal,"person, friend, pal, folk, individual",
lady,"person, friend, pal, folk, individual",
babe,"person, friend, pal, folk, individual",
bimbo,"person, friend, pal, folk, individual",
chick,"person, friend, pal, folk, individual",
guy,"person, friend, pal, folk, individual",
lad,"person, friend, pal, folk, individual",
fellow,"person, friend, pal, folk, individual",
dude,"person, friend, pal, folk, individual",
bro,"person, friend, pal, folk, individual",
gentleman,"person, friend, pal, folk, individual",
motherland,"native land, homeland",
fatherland,"native land, homeland",
mother tongue,"native tongue, native language",
father tongue,"native tongue, native language",
freshwomen,"first-year students, freshers",
freshmen,"first-year students, freshers",
garbagewoman,"garbage collector, waste collector, trash collector",
garbageman,"garbage collector, waste collector, trash collector",
garbagewomen,"garbage collectors, waste collectors, trash collectors",
garbagemen,"garbage collectors, waste collectors, trash collectors",
chairwoman,"chair, head, chairperson, coordinator, committee head, moderator, presiding officer",
chairman,"chair, head, chairperson, coordinator, committee head, moderator, presiding officer",
committee woman,committee member,
committee man,committee member,
cowgirl,cowhand,
cowboy,cowhand,
cowgirls,cowhands,
cowboys,cowhands,
cattlewoman,cattle rancher,
cattleman,cattle rancher,
cattlewomen,cattle ranchers,
cattlemen,cattle ranchers,
chairwomen,"chairs, chairpersons, coordinators",
chairmen,"chairs, chairpersons, coordinators",
postwoman,"mail carrier, letter carrier, postal worker",
mailwoman,"mail carrier, letter carrier, postal worker",
postman,"mail carrier, letter carrier, postal worker",
mailman,"mail carrier, letter carrier, postal worker",
postwomen,"mail carriers, letter carriers, postal workers",
mailwomen,"mail carriers, letter carriers, postal workers",
postmen,"mail carriers, letter carriers, postal workers",
mailmen,"mail carriers, letter carriers, postal workers",
policewoman,"officer, police officer",
policeman,"officer, police officer",
chick cop,"officer, police officer",
policewomen,"officers, police officers",
policemen,"officers, police officers",
stewardess,flight attendant,
steward,flight attendant,
stewardesses,flight attendants,
stewards,flight attendants,
congresswoman,"member of congress, congress person, legislator, representative",
congressman,"member of congress, congress person, legislator, representative",
congresswomen,"members of congress, congress persons, legislators, representatives",
congressmen,"members of congress, congress persons, legislators, representatives",
firewoman,"fire fighter, fire officer",
fireman,"fire fighter, fire officer",
firewomen,fire fighters,
firemen,fire fighters,
fisherwoman,"fisher, crew member, fisherfolk, angler",
fisherman,"fisher, crew member, fisherfolk, angler",
fisherwomen,fishers,
fishermen,fishers,
sisterhood,"kinship, community",
brotherhood,"kinship, community",
common girl,"common person, average person",
common man,"common person, average person",
businesswoman,"business executive, entrepreneur, business person, professional",
salarywoman,"business executive, entrepreneur, business person, professional",
businessman,"business executive, entrepreneur, business person, professional",
salaryman,"business executive, entrepreneur, business person, professional",
businesswomen,"business executives, entrepreneurs",
salarywomen,"business executives, entrepreneurs",
career girl,"business executives, entrepreneurs",
career woman,"business executives, entrepreneurs",
businessmen,"business executives, entrepreneurs",
salarymen,"business executives, entrepreneurs",
cleaning lady,cleaner,
cleaning girl,cleaner,
cleaning woman,cleaner,
janitress,cleaner,
cleaning man,cleaner,
cleaning boy,cleaner,
janitor,cleaner,
cleaning ladies,"cleaners, housekeeping",
cleaning girls,"cleaners, housekeeping",
janitresses,"cleaners, housekeeping",
cleaning men,"cleaners, housekeeping",
janitors,"cleaners, housekeeping",
delivery girl,"courier, messenger",
delivery boy,"courier, messenger",
forewoman,"supervisor, shift boss",
foreman,"supervisor, shift boss",
"frontwoman, front woman","lead, front, figurehead",
"frontman, front man","lead, front, figurehead",
"front women, frontwomen",figureheads,
"front men, frontmen",figureheads,
forewomen,"supervisors, shift bosses",
foremen,"supervisors, shift bosses",
insurance woman,insurance agent,
insurance man,insurance agent,
insurance women,insurance agents,
insurance men,insurance agents,
landlady,"proprietor, building manager",
landlord,"proprietor, building manager",
landladies,"proprietors, building managers",
landlords,"proprietors, building managers",
alumna,graduate,
alumnus,graduate,
alumnae,graduates,
alumni,graduates,
newswoman,"anchor, journalist",
newspaperwoman,"anchor, journalist",
anchorwoman,"anchor, journalist",
newsman,"anchor, journalist",
newspaperman,"anchor, journalist",
anchorman,"anchor, journalist",
newswomen,"anchors, journalists",
newspaperwomen,"anchors, journalists",
anchorwomen,"anchors, journalists",
newsmen,"anchors, journalists",
newspapermen,"anchors, journalists",
anchormen,"anchors, journalists",
repairwoman,"repairer, technician",
repairman,"repairer, technician",
repairwomen,technicians,
repairmen,technicians,
saleswoman,"salesperson, sales clerk, sales rep, sales agent, sales attendant, seller, shop assistant",
sales woman,"salesperson, sales clerk, sales rep, sales agent, sales attendant, seller, shop assistant",
saleslady,"salesperson, sales clerk, sales rep, sales agent, sales attendant, seller, shop assistant",
salesman,"salesperson, sales clerk, sales rep, sales agent, sales attendant, seller, shop assistant",
sales man,"salesperson, sales clerk, sales rep, sales agent, sales attendant, seller, shop assistant",
saleswomen,"sales clerks, sales reps, sales agents, sellers",
sales women,"sales clerks, sales reps, sales agents, sellers",
salesladies,"sales clerks, sales reps, sales agents, sellers",
salesmen,"sales clerks, sales reps, sales agents, sellers",
sales men,"sales clerks, sales reps, sales agents, sellers",
servicewoman,"soldier, service representative",
serviceman,"soldier, service representative",
servicewomen,"soldiers, service representatives",
servicemen,"soldiers, service representatives",
waitress,server,
waiter,server,
waitresses,servers,
waiters,servers,
workwoman,"worker, wage earner, taxpayer",
working woman,"worker, wage earner, taxpayer",
workman,"worker, wage earner, taxpayer",
working man,"worker, wage earner, taxpayer",
workwomen,workers,
workmen,workers,
actress,"performer, star, artist, entertainer",
actor,"performer, star, artist, entertainer",
actresses,"performers, stars, artists, entertainers",
actors,"performers, stars, artists, entertainers",
aircrewwoman,"pilot, aviator, airstaff",
aircrew woman,"pilot, aviator, airstaff",
aircrewman,"pilot, aviator, airstaff",
airman,"pilot, aviator, airstaff",
aircrewwomen,"pilots, aviators, airstaff",
aircrew women,"pilots, aviators, airstaff",
aircrewmen,"pilots, aviators, airstaff",
airmen,"pilots, aviators, airstaff",
alderwoman,cabinet member,
alderman,cabinet member,
alderwomen,"cabinet, cabinet members, alderperson",
aldermen,"cabinet, cabinet members, alderperson",
assemblywoman,"assembly person, assembly worker",
assemblyman,"assembly person, assembly worker",
kinswoman,relative,
aunt,relative,
kinsman,relative,
uncle,relative,
kinswomen,relatives,
aunts,relatives,
kinsmen,relatives,
uncles,relatives,
boogeywoman,boogeymonster,
boogeyman,boogeymonster,
boogiewoman,boogeymonster,
boogieman,boogeymonster,
bogeywoman,bogeymonster,
bogeyman,bogeymonster,
bogiewoman,bogeymonster,
bogieman,bogeymonster,
boogiewomen,boogeymonsters,
boogiemen,boogeymonsters,
bogiewomen,bogeymonsters,
bogiemen,bogeymonsters,
bondswoman,bonder,
bondsman,bonder,
bondswomen,bonders,
bondsmen,bonders,
wife,"partner, significant other, spouse",
husband,"partner, significant other, spouse",
wives,"partners, significant others, spouses",
husbands,"partners, significant others, spouses",
girlfriend,"partner, friend, significant other",
boyfriend,"partner, friend, significant other",
girlfriends,"partners, friends, significant others",
boyfriends,"partners, friends, significant others",
girlhood,childhood,
boyhood,childhood,
girly,childish,
girlish,childish,
boyish,childish,
journeywoman,journeyperson,
journeyman,journeyperson,
journeywomen,journeypersons,
journeymen,journeypersons,
godmother,"godparent, elder, patron",
patroness,"godparent, elder, patron",
godfather,"godparent, elder, patron",
granddaughter,grandchild,
grandson,grandchild,
granddaughters,grandchildren,
grandsons,grandchildren,
foremother,ancestor,
forefather,ancestor,
foremothers,ancestors,
forefathers,ancestors,
granny,"grandparent, ancestor",
grandma,"grandparent, ancestor",
grandmother,"grandparent, ancestor",
grandpappy,"grandparent, ancestor",
granddaddy,"grandparent, ancestor",
gramps,"grandparent, ancestor",
grandpa,"grandparent, ancestor",
grandfather,"grandparent, ancestor",
grandmothers,"grandparents, ancestors",
grandfathers,"grandparents, ancestors",
bride,"spouse, newlywed",
groom,"spouse, newlywed",
sister,sibling,
brother,sibling,
sisters,siblings,
brothers,siblings,
camerawoman,"camera operator, camera person",
cameraman,"camera operator, camera person",
camerawomen,camera operators,
cameramen,camera operators,
cavewoman,"troglodyte, hominidae",
caveman,"troglodyte, hominidae",
cavewomen,"troglodytae, troglodyti, troglodytes, hominids",
cavemen,"troglodytae, troglodyti, troglodytes, hominids",
clergywoman,"clergyperson, clergy, cleric",
clergyman,"clergyperson, clergy, cleric",
clergywomen,"clergies, clerics",
clergymen,"clergies, clerics",
councilwoman,council member,
councilman,council member,
councilwomen,council members,
councilmen,council members,
countrywoman,country person,
countryman,country person,
countrywomen,country folk,
countrymen,country folk,
handywoman,"artisan, craftsperson, skilled worker",
craftswoman,"artisan, craftsperson, skilled worker",
handyman,"artisan, craftsperson, skilled worker",
craftsman,"artisan, craftsperson, skilled worker",
hostess,"presenter, entertainer, emcee",
host,"presenter, entertainer, emcee",
hostesses,"presenters, entertainers, emcees",
hosts,"presenters, entertainers, emcees",
handywomen,"artisans, craftspersons, skilled workers",
craftswomen,"artisans, craftspersons, skilled workers",
handymen,"artisans, craftspersons, skilled workers",
craftsmen,"artisans, craftspersons, skilled workers",
hangwoman,guillotine,
hangman,guillotine,
hangwomen,guillotines,
hangmen,guillotines,
henchwoman,sidekick,
henchman,sidekick,
henchwomen,sidekicks,
henchmen,sidekicks,
heroine,"role-model, mentor",
hero,"role-model, mentor",
heroines,"role-models, mentor",
heroes,"role-models, mentor",
maternal,"parental, warm, intimate",
paternal,"parental, warm, intimate",
fraternal,"parental, warm, intimate",
maternity,parental,
paternity,parental,
mamas,parents,
mothers,parents,
moms,parents,
mums,parents,
mommas,parents,
mommies,parents,
papas,parents,
fathers,parents,
dads,parents,
daddies,parents,
mama,parent,
mother,parent,
mom,parent,
mum,parent,
momma,parent,
mommy,parent,
papa,parent,
father,parent,
dad,parent,
pop,parent,
daddy,parent,
daughter,child,
son,child,
daughters,children,
sons,children,
doorwoman,concierge,
doorman,concierge,
doorwomen,concierges,
doormen,concierges,
feminin,"humanly, mature",
dudely,"humanly, mature",
manly,"humanly, mature",
females,humans,
males,humans,
empress,ruler,
queen,ruler,
emperor,ruler,
king,ruler,
empresses,rulers,
queens,rulers,
emperors,rulers,
kings,rulers,
queensize,"jumbo, gigantic",
kingsize,"jumbo, gigantic",
queenmaker,power behind the throne,
kingmaker,power behind the throne,
laywoman,civilian,
layman,civilian,
laywomen,civilians,
laymen,civilians,
dame,"official, owner, expert, superior, chief, ruler",
lord,"official, owner, expert, superior, chief, ruler",
dames,"officials, chiefs, rulers",
lords,"officials, chiefs, rulers",
womanhood,"adulthood, personhood, maturity",
masculinity,"adulthood, personhood, maturity",
manhood,"adulthood, personhood, maturity",
femininity,humanity,
manliness,humanity,
markswoman,shooter,
marksman,shooter,
markswomen,shooters,
marksmen,shooters,
middlewoman,"intermediary, go-between",
middleman,"intermediary, go-between",
middlewomen,"intermediaries, go-betweens",
middlemen,"intermediaries, go-betweens",
milkwoman,milk person,
milkman,milk person,
milkwomen,milk people,
milkmen,milk people,
niece,"nibling, sibling’s child",
nephew,"nibling, sibling’s child",
nieces,"niblings, sibling’s children",
nephews,"niblings, sibling’s children",
noblewoman,noble,
nobleman,noble,
noblewomen,nobles,
